,progress_10_years_tr
435,Equal rights as men. Equal pay. Respect for women. Less physical and social abuse towards women. 50% of management positions are held by women. Self-determined life and love for women. Sex work is recognized as a profession and no longer criminalized.  
436,
437,
438,
439,
440,Consistent implementation of the Equal Opportunities Act; equality as a compulsory subject; Implementation of gender budgeting
441,"better economic participation, less violence, less legal and financial dependence on men"
442,
443,"Equality of women in all areas, without sexual harassment and disadvantage in work and family life"
444,
445,I hope that in other countries the same women'`s rights as in Europe apply and can be enforced
446,I hope that today'`s young and strong women will take big steps forward. 
447,
448,equal pay for equal work
449,
450,Universal health care for all. A living wage and fair pair to all workers globally. Access to education for all and extended maternal leave
451,
452,
453,Equal pay and equal careers/ Equal rights in partnership/Politics/Church \r\nValued child care\r\nRight to education and prevention!
454,
455,
456,"women no longer walk on stick shoes back to get a good job\r\nbequeme shoes and short hair have become a matter of course\r\nEducation takes place early, not only in regulated schools, but also in groups that address reproduction and sex"
457,"Hopefully an end to the wage gap, hopefully 50% women in higher positions, higher pay for the social professions, low pay for those who do not serve the common good; hopefully education for girls everywhere, no more forced marriages, no more circumcisions; equally drastic penalties for femicide as for homicide, more education against abuse and violence against women, better prosecution of child pornography, trafficking in human beings; Trade unions and protection for prostitutes, more paternity leave, etc. "
458,
459,No forced marriage / empty women'`s shelters / majority of women in politics
