iso3166,gender,race,age,language,progress_10_years_tr
CH,woman,indigenous+white,45 to 54,de,"When I see how timid progress has been so far, I'`m not very confident for my daughters. "
CH,,,,en,
US,woman,racial_identity_not_listed,55 to 64,en,Not good
CH,woman,white,55 to 64,de,more influence and more power of women
CH,woman,choose_not_to_identify,65 to 74,de,"Equal pay for equal work, reduction of violence compared to today, human rights and human duties are better balanced."
CH,,,,en,
VA,,,,,
CH,non_conforming_or_non_binary,white,25 to 34,de,"Instead of talking about women, it is internationally recognized that trans, non-binary and inter-persons are also affected by patriarchal violence and that capitalist exploitation and systemic racism and sexism are linked. Only then can action be taken against it."
CH,,,,,
CH,woman,indigenous,35 to 44,de,"The woman'`s body is her ""territory"". After a few years with quotas in the world of work, these will no longer be necessary in 10 years; Women are on an equal footing with men in all aspects of the world of work."
CH,cisgender_woman,indigenous+white,35 to 44,de,"Actual equality, free access to contraceptives, one-year parental leave, equal pay for equal work, gender-appropriate language everywhere, at least 50% of women in management positions"
CH,woman,indigenous,35 to 44,de,equal pay for equal work
CH,woman,indigenous,55 to 64,de,"hopefully we will be able to help women internationally become more self-esteemed, independence and better socially better positioned."
DE,woman,white,55 to 64,de,Equal pay for equal work
CH,cisgender_man+man,white,25 to 34,en,equal pay
CH,,,,en,
CH,woman,racial_identity_not_listed+white,45 to 54,de,"I hope better on a political level, but not much better in people'`s minds..."
CH,woman,indigenous,55 to 64,en,
CH,,,,en,
CH,,,,,
DE,woman,indigenous+white,55 to 64,de,"Fairer distribution of resources\r\n""Only a yes is a yes"""
CH,,,,de,
CH,,,,,
CH,woman,white,55 to 64,de,More self-evident equivalence and equality 
CH,gender_not_listed,choose_not_to_identify,35 to 44,de,"Clearly recognize differences between men and women and still create ideal framework conditions for both sexes, because it is not as clear as one supposedly thinks, this binarity manifests itself more complex in humans. You only see well with your heart. Smarter solutions, more freedom of choice for all genders."
CH,woman,indigenous,35 to 44,de,"We should already be so far today that we no longer have to distinguish between man and woman, in terms of working conditions, wages, care work (unpaid), marriage law (surname etc.), there must simply be no more gender-specific discrimination accepted, in 10 years that must be gone! "
CH,woman,indigenous,75 or older,de,Equality in all areas of women'`s lives. Stop violence and abuse. 
CH,,,,,
CH,woman,indigenous,45 to 54,de,That there is no longer any difference between man and woman.
DE,woman,choose_not_to_identify,55 to 64,de,"I can'`t answer like that, because I'`m not actively involved in this topic. "
CH,cisgender_woman+woman,white,25 to 34,de,"hopefully equality with men at all levels, at least in Switzerland or the ""Western world"". Desirable of course also in other countries, but perhaps too optimistic. but certainly significant improvement in equality worldwide"
CH,woman,white,35 to 44,de,"More education, more awareness of one'`s own rights, more support/cohesion across countries"
CH,woman,white,45 to 54,de,"finally equal opportunities, conditions - self-determination regarding prevention, abortion - AHV and pension regulation - Taxation of menstrual articles at 2.4% or abolish - Assumption of health insurance every year Gynaecologist"
US,woman,white,45 to 54,en,We'`d no longer have to take a survey to talk about women'`s human rights - it would just be a given. 
CH,,,,de,
CH,woman,white,55 to 64,de,Equal pay for equal work.\r\nNo bullying in the workplace 
CH,woman,white,35 to 44,de,Equal rights for all at the same level as in Iceland today. 
CH,woman,indigenous+white,55 to 64,de,"Women are also more strongly represented in STEM subjects, on boards of directors and in political bodies than they are today (at least 10% more). "
CH,woman,white,55 to 64,de,Equal pay\r\nViolence against women is recognised and prosecuted
CH,woman,indigenous+white,35 to 44,de,"Equal pay, equal opportunities,\r\nMore responsibility of men in contraception, \r\nToleranz among women,\r\nLegal facilitation of lesbian couples'` desire to have children,\r\nShare of men and women with part-time work is the same at all levels of education,\r\nAbmehmender mental load among women as opposed to today"
CH,woman,indigenous,65 to 74,en,
CH,woman,choose_not_to_identify,35 to 44,,
DE,woman,white,45 to 54,de,"Equal pay for equal work, better structure/division in one household, equal rights for all people"
CH,woman,white,45 to 54,de,
CH,,,,,
CH,woman,indigenous,65 to 74,de,"Equality between men and women, in particular equal pay\r\nNo sexual violence,\r\nNo forced marriages"
DE,woman,white,55 to 64,de,"Hopefully better than today, especially in countries outside Europe"
CH,woman,white,45 to 54,de,"At least in the Western world, women are treated on an equal footing with men!"
CH,,,,,
CH,,,,,
CH,woman,biracial_or_mixed,55 to 64,de,"We can move freely, even at night, without fear. We have equal opportunities on the labour market. Our partners treat us on an equal footing. There is no difference in education. "
CH,cisgender_woman+woman,white,18 to 24,de,"Recognition of emotional load, unpaid work, voluntary work. Women* should be recognized and paid equally for what they do. Problems of women* should not simply be dismissed, research in health areas that are of particular concern to women*. Feminism as a minimum standard for all"
CA,woman,white,35 to 44,,
CH,woman,white,55 to 64,de,"Women have a real choice in their way of life, even if they start a family. Real equal opportunities. equal pay for equal work. Payment for all care work, e.B. also in the form of time credits. Better developed contraceptives for men. "
CH,woman,white,45 to 54,de,free and self-determined. physically and psychologically intact. access to all positions. 
CH,man,indigenous+white,65 to 74,de,"Too slow, but continuously positive development"
CH,,,,de,
DE,,,,de,
CH,woman,white,35 to 44,de,"Self-determination, real choice, recognition for the work done"
CH,woman,white,55 to 64,de,"Different depending on the region of the world, but I hope it goes forward everywhere"
CH,woman,white,35 to 44,de,The introduction of parental leave allows men and women alike to play their part in family work and treats male and female candidates equally when filling vacancies; flexible working models in all sectors make it possible for men and women alike to reconcile family and employment; Women are increasingly taking on political responsibility 
CH,woman,white,55 to 64,de,"Hopefully towards free, equal and self-determined, as a consolidated political and socio-cultural common good. As far as my wish ... however, it will still be a path that has not yet been completed."
DE,,,,,
CH,man,white,65 to 74,de,"If we do not manage to stand up against it together (all), it will not be better than today!"
UK,,,,,
US,transgender_woman+woman,white,18 to 24,en,"Greater access to reproductive health care and education. An end to workplace discrimination for ALL women, including queer and transgender women (this includes eliminating the ""pay gap""). Greater accountability for sexual harassment and an end to gender-based violence. Women in positions of power (maybe have a woman as president finally?)."
US,,,,,
CH,woman,white,35 to 44,,
CH,woman,white,45 to 54,de,-equal pay for equal work > worldwide\r\n-at least 50% of political and business leaders are female\r\n-all women have access to education > worldwide\r\n- every woman determines her body and her own life\r\n
CA,woman,white,45 to 54,en,Complete body autonomy\r\nEqual pay for equal work\r\nFully balanced political representation
CH,woman,indigenous+white,55 to 64,de,"Equal pay, self-determined life, balanced representation in politics and business, also in the top management"
CH,woman,white,65 to 74,de,"Women should earn the same amount for equal work, have equal opportunities for advancement, be able to fall back on structures for childcare, and should also be fully represented in the language."
